gem,ficheiro,linha,mensagem,nao_ruby
geocoder,lib/generators/geocoder/maxmind/templates/migration/geolite_country.rb,18,"unexpected `end`, expecting ';' or '\n'",molde de gerador
geocoder,lib/generators/geocoder/maxmind/templates/migration/geolite_country.rb,18,"unexpected end-of-input, assuming it is closing the parent top level context",molde de gerador
geocoder,lib/generators/geocoder/maxmind/templates/migration/geolite_city.rb,30,unterminated string meets end of file,molde de gerador
geocoder,lib/generators/geocoder/maxmind/templates/migration/geolite_city.rb,31,"unexpected `end`, expecting ';' or '\n'",molde de gerador
geocoder,lib/generators/geocoder/maxmind/templates/migration/geolite_city.rb,31,"unexpected end-of-input, assuming it is closing the parent top level context",molde de gerador
aasm,lib/generators/active_record/templates/migration.rb,1,"unexpected `end`, expecting ';' or '\n'",molde de gerador
aasm,lib/generators/active_record/templates/migration.rb,3,"unexpected ')', expecting end-of-input",molde de gerador
aasm,lib/generators/active_record/templates/migration.rb,3,"unexpected ')', ignoring it",molde de gerador
aasm,lib/generators/active_record/templates/migration_existing.rb,1,"unexpected `end`, expecting ';' or '\n'",molde de gerador
aasm,lib/generators/active_record/templates/migration_existing.rb,1,"unexpected ']', expecting end-of-input",molde de gerador
aasm,lib/generators/active_record/templates/migration_existing.rb,1,"unexpected ']', ignoring it",molde de gerador
