gem,repo,categoria,existe,downloads,versao,licenca,erro,nome_corrigido_de,subpasta_de
stoplight,bolshakov/stoplight,business logic,True,11693486,5.8.3,MIT,,,
ruby_llm,crmne/ruby_llm,ai and llms,True,11569311,1.16.0,MIT,,,
streamio-ffmpeg,streamio/streamio-ffmpeg,video,True,11140064,3.0.2,,,,
acts_as_tree,amerine/acts_as_tree,orm/odm extensions,True,10781507,2.9.1,,,,
local_time,basecamp/local_time,date and time processing,True,10657713,3.0.3,MIT,,,
job-iteration,Shopify/job-iteration,queues and messaging,True,10519257,1.15.0,MIT,,,
rspec_api_documentation,zipmark/rspec_api_documentation,documentation,True,10386627,6.1.0,MIT,,,
fasterer,DamirSvrtan/fasterer,code analysis and metrics,True,10303514,0.11.0,MIT,,,
voight_kampff,biola/Voight-Kampff,captchas and anti-spam,True,10230945,2.0.0,MIT,,Voight-Kampff,
cuke_modeler,enkessler/cuke_modeler,testing,True,10060460,3.31.0,MIT,,,
sniffer,aderyabin/sniffer,http clients and tools,True,9984591,0.5.0,MIT,,,
reform,trailblazer/reform,form builder,True,9892062,2.6.2,MIT,,,
rerun,alexch/rerun,file system listener,True,9870671,0.14.0,MIT,,,
seed_dump,rroblak/seed_dump,database tools,True,9784757,3.4.2,MIT,,,
march_hare,ruby-amqp/march_hare,queues and messaging,True,9655139,4.8.0,,,,
goldiloader,salsify/goldiloader,orm/odm extensions,True,9624516,6.0.0,MIT,,,
blazer,ankane/blazer,dashboards,True,9571867,3.5.1,MIT,,,
httplog,trusche/httplog,logging,True,9298240,1.8.0,MIT,,,
dragonfly,markevans/dragonfly,file upload,True,9296353,1.4.2,MIT,,,
high_voltage,thoughtbot/high_voltage,static site generation,True,9290083,5.0.0,MIT,,,
pony,benprew/pony,email,True,9286669,1.13.1,MIT,,,
administrate,thoughtbot/administrate,admin interface,True,9171822,1.0.0,MIT,,,
split,splitrb/split,feature flippers and a/b testing,True,9034161,4.0.5,MIT,,,
rails_event_store,RailsEventStore/rails_event_store,event sourcing,True,9025221,3.0.0,MIT,,,
rpush,rpush/rpush,notifications,True,8731857,9.2.0,MIT,,,
