gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,excluido_por
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/incoming_phone_number/toll_free.rb,c58e213a6f04,third-party apis,7.6,71,0,82,0.0,2,0.0,57,11,17,0.298,proporcao 0.298 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/client.rb,c58e213a6f04,third-party apis,3,3,0,0,0.0,1,0.0,57,3,19,0.333,proporcao 0.333 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/insights/v1/call/call_summary.rb,c58e213a6f04,third-party apis,5.4,35,0,73,0.0,2,0.0,52,13,17,0.327,proporcao 0.327 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/taskrouter/v1/workspace/task_queue/task_queue_cumulative_statistics.rb,c58e213a6f04,third-party apis,6.0,35,0,73,0.0,2,0.0,51,14,16,0.314,proporcao 0.314 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/taskrouter/v1/workspace/workflow/workflow_cumulative_statistics.rb,c58e213a6f04,third-party apis,6.0,35,0,73,0.0,2,0.0,51,14,16,0.314,proporcao 0.314 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/taskrouter/v1/workspace/workspace_cumulative_statistics.rb,c58e213a6f04,third-party apis,6.0,34,0,72,0.0,2,0.0,50,13,17,0.34,proporcao 0.34 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/verify/v2/service/new_challenge.rb,c58e213a6f04,third-party apis,5.4,31,0,70,0.0,2,0.0,50,14,19,0.38,proporcao 0.38 abaixo de 0.4
fastlane,fastlane/lib/fastlane/actions/xcodebuild.rb,38d0ec404332,mobile development,11.3,226,100,21,0.0,1,0.0,47,9,12,0.255,proporcao 0.255 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/address/dependent_phone_number.rb,c58e213a6f04,third-party apis,5.3,34,0,79,0.0,2,0.0,47,11,15,0.319,proporcao 0.319 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/lookups/v2/phone_number.rb,c58e213a6f04,third-party apis,7.5,54,0,67,0.0,2,0.0,46,12,17,0.37,proporcao 0.37 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record.rb,c58e213a6f04,third-party apis,5.8,23,0,77,0.0,2,0.0,44,11,16,0.364,proporcao 0.364 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/insights/v1/call_summaries.rb,c58e213a6f04,third-party apis,8.7,50,0,73,0.0,2,0.0,44,9,15,0.341,proporcao 0.341 abaixo de 0.4
rubocop,lib/rubocop/cop/layout/space_around_keyword.rb,65854e6bbfe4,code formatting,4.2,14,0,42,0.25,1,2.3,43,4,16,0.372,proporcao 0.372 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/chat/v3/channel.rb,c58e213a6f04,third-party apis,6.1,31,0,65,0.0,2,0.0,43,12,17,0.395,proporcao 0.395 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/flex_api/v1/insights_segments.rb,c58e213a6f04,third-party apis,5.7,30,0,72,0.0,2,0.0,43,9,15,0.349,proporcao 0.349 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/preview/hosted_numbers/authorization_document/dependent_hosted_number_order.rb,c58e213a6f04,third-party apis,5.9,30,0,77,0.0,2,0.0,43,10,15,0.349,proporcao 0.349 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/taskrouter/v1/workspace/task_queue/task_queue_real_time_statistics.rb,c58e213a6f04,third-party apis,5.8,27,0,67,0.0,2,0.0,43,14,16,0.372,proporcao 0.372 abaixo de 0.4
rspec,rspec-expectations/lib/rspec/matchers.rb,79a280d76e10,testing,3.9,20,12,17,0.5,0,0.0,41,2,16,0.39,proporcao 0.39 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/browsing_context.rb,9175ed94d83e,testing,4.0,23,22,0,0.0,1,0.0,40,8,11,0.275,proporcao 0.275 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/numbers/v3/hosted_number_order.rb,c58e213a6f04,third-party apis,7.2,58,0,78,0.0,2,0.0,40,9,11,0.275,proporcao 0.275 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/verify/v2/service/approve_challenge.rb,c58e213a6f04,third-party apis,5.6,27,0,72,0.0,2,0.0,40,12,14,0.35,proporcao 0.35 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/numbers/v2/authorization_document/dependent_hosted_number_order.rb,c58e213a6f04,third-party apis,6.0,26,0,74,0.0,2,0.0,39,10,15,0.385,proporcao 0.385 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/verify/v2/service/new_factor.rb,c58e213a6f04,third-party apis,5.7,23,0,68,0.0,2,0.0,38,13,14,0.368,proporcao 0.368 abaixo de 0.4
capybara,lib/capybara/driver/base.rb,a210c6e57872,testing,3,5,0,3,0.0,0,0.0,37,1,9,0.243,proporcao 0.243 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/notify/v1/service/notification.rb,c58e213a6f04,third-party apis,7.5,61,0,76,0.0,2,0.0,37,10,11,0.297,proporcao 0.297 abaixo de 0.4
rspec,rspec-support/lib/rspec/support/ruby_features.rb,79a280d76e10,testing,2.9,3,0,3,0.0,0,0.0,36,5,13,0.361,proporcao 0.361 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/input.rb,9175ed94d83e,testing,1.3,4,41,0,0.0,1,0.0,34,10,5,0.147,proporcao 0.147 abaixo de 0.4
capybara,lib/capybara/driver/node.rb,a210c6e57872,testing,3.1,5,0,3,0.0,0,0.0,32,3,8,0.25,proporcao 0.25 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/verify/v2/service/entity/new_factor.rb,c58e213a6f04,third-party apis,7.6,54,0,72,0.0,2,0.0,32,11,11,0.344,proporcao 0.344 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/conversations/v1/conversation_with_participants.rb,c58e213a6f04,third-party apis,7.4,49,0,65,0.0,2,0.0,31,9,11,0.355,proporcao 0.355 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/conversations/v1/service/conversation_with_participants.rb,c58e213a6f04,third-party apis,7.5,50,0,71,0.0,2,0.0,31,10,11,0.355,proporcao 0.355 abaixo de 0.4
geocoder,lib/geocoder/results/abstract_api.rb,d3515db46c57,geolocation,3,3,0,100,0.0,1,0.0,30,3,2,0.067,menos de 3 formas distintas; proporcao 0.067 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/verify/v2/service/verification_check.rb,c58e213a6f04,third-party apis,6.8,37,0,69,0.0,2,0.0,29,10,11,0.379,proporcao 0.379 abaixo de 0.4
bullet,lib/bullet/dependency.rb,bc55c037d27a,profiler and optimization,4.7,34,0,0,0.0,0,0.0,28,2,10,0.357,proporcao 0.357 abaixo de 0.4
chronic,lib/chronic/separator.rb,7d3d82d38c99,date and time processing,3.6,17,50,7,0.0,2,0.0,28,15,6,0.214,proporcao 0.214 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/network.rb,9175ed94d83e,testing,4.9,18,18,0,0.0,1,0.0,28,8,10,0.357,proporcao 0.357 abaixo de 0.4
excon,lib/excon/response.rb,ac022b6417d7,http clients and tools,8.4,123,7,93,0.0,0,0.0,27,2,9,0.333,proporcao 0.333 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/flex_api/v1.rb,c58e213a6f04,third-party apis,8.9,27,0,58,0.0,2,0.0,26,4,5,0.192,proporcao 0.192 abaixo de 0.4
faker,lib/faker/default/drone.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,25,2,4,0.16,proporcao 0.16 abaixo de 0.4
typhoeus,lib/typhoeus/response/informations.rb,d7aba1bbfa8d,http clients and tools,3.5,12,0,96,0.0,0,0.0,25,3,7,0.28,proporcao 0.28 abaixo de 0.4
activerecord,lib/active_record/database_configurations/database_config.rb,3989ebf3473d,orm/odm,3.2,5,0,8,0.0,0,0.0,24,3,8,0.333,proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/address.rb,e48d35f4fa0d,testing,3.5,10,100,22,0.0,1,8.7,23,2,9,0.391,proporcao 0.391 abaixo de 0.4
geocoder,lib/geocoder/results/nominatim.rb,d3515db46c57,geolocation,3.5,6,4,96,0.0,1,0.0,23,2,7,0.304,proporcao 0.304 abaixo de 0.4
gitlab,lib/gitlab/client/notes.rb,4818c5712616,third-party apis,3.2,8,0,4,0.0,2,0.0,23,2,9,0.391,proporcao 0.391 abaixo de 0.4
rubocop-rspec,lib/rubocop/rspec/language.rb,2488441eb70a,code formatting,3.5,6,100,78,0.07,0,0.0,23,15,8,0.348,proporcao 0.348 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/memory/v1.rb,c58e213a6f04,third-party apis,15.3,20,0,91,0.0,2,0.0,23,4,5,0.217,proporcao 0.217 abaixo de 0.4
faker,lib/faker/music/opera.rb,e48d35f4fa0d,testing,3.1,4,100,0,0.0,1,0.0,22,3,2,0.091,menos de 3 formas distintas; proporcao 0.091 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/session.rb,9175ed94d83e,testing,1.6,4,24,0,0.0,1,0.0,21,7,6,0.286,proporcao 0.286 abaixo de 0.4
puma,lib/puma/null_io.rb,8085b75e79e3,web servers,3.5,17,0,10,0.0,0,0.0,20,2,4,0.2,proporcao 0.2 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/emulation.rb,9175ed94d83e,testing,7.7,17,0,0,0.0,1,0.0,19,6,5,0.263,proporcao 0.263 abaixo de 0.4
activesupport,lib/active_support/core_ext/object/blank.rb,3989ebf3473d,core extensions,3.4,11,0,33,0.0,0,0.0,18,10,6,0.333,proporcao 0.333 abaixo de 0.4
rouge,lib/rouge/lexers/isabelle.rb,afc3c52c2af0,code highlighting,7.4,39,94,6,0.0,2,0.0,18,3,5,0.278,proporcao 0.278 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/support/abstract_event_listener.rb,9175ed94d83e,testing,1,1,0,0,0.0,0,0.0,18,4,3,0.167,proporcao 0.167 abaixo de 0.4
concurrent-ruby,lib/concurrent-ruby/concurrent/collection/map/synchronized_map_backend.rb,0b88d5ff75f6,concurrency and parallelism,3.2,7,0,94,0.0,1,0.0,17,3,5,0.294,proporcao 0.294 abaixo de 0.4
fastlane,spaceship/lib/spaceship/errors.rb,38d0ec404332,mobile development,3.9,9,0,19,0.0,3,0.0,16,20,6,0.375,proporcao 0.375 abaixo de 0.4
geocoder,lib/geocoder/results/twogis.rb,d3515db46c57,geolocation,3.4,4,0,100,0.0,1,0.0,16,2,6,0.375,proporcao 0.375 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/messaging/v1.rb,c58e213a6f04,third-party apis,10,17,0,69,0.0,2,0.0,16,4,5,0.312,proporcao 0.312 abaixo de 0.4
faker,lib/faker/default/compass.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,15,2,2,0.133,menos de 3 formas distintas; proporcao 0.133 abaixo de 0.4
faker,lib/faker/games/tarkov.rb,e48d35f4fa0d,testing,3.1,4,100,7,0.0,1,0.0,15,3,2,0.133,menos de 3 formas distintas; proporcao 0.133 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/numbers/v1.rb,c58e213a6f04,third-party apis,8.3,16,0,47,0.0,2,0.0,15,4,5,0.333,proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/space.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,14,2,2,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
geocoder,lib/geocoder/results/azure.rb,d3515db46c57,geolocation,3.3,7,0,100,0.0,1,0.0,14,2,3,0.214,proporcao 0.214 abaixo de 0.4
geocoder,lib/geocoder/results/baidu_ip.rb,d3515db46c57,geolocation,3,3,0,64,0.0,1,0.0,14,2,5,0.357,proporcao 0.357 abaixo de 0.4
geocoder,lib/geocoder/results/here.rb,d3515db46c57,geolocation,3.5,9,0,100,0.0,1,0.0,14,2,5,0.357,proporcao 0.357 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/chromium/features.rb,9175ed94d83e,testing,3.5,9,0,7,0.0,0,0.0,14,4,5,0.357,proporcao 0.357 abaixo de 0.4
activerecord,lib/arel/nodes/infix_operation.rb,3989ebf3473d,orm/odm,3.1,4,0,0,0.33,4,0.0,13,15,2,0.154,menos de 3 formas distintas; proporcao 0.154 abaixo de 0.4
faker,lib/faker/creature/bird.rb,e48d35f4fa0d,testing,4.1,14,100,15,0.0,1,0.0,13,3,5,0.385,proporcao 0.385 abaixo de 0.4
faker,lib/faker/games/dnd.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,13,3,2,0.154,menos de 3 formas distintas; proporcao 0.154 abaixo de 0.4
geocoder,lib/geocoder/results/baidu.rb,d3515db46c57,geolocation,3,3,8,62,0.0,1,0.0,13,2,4,0.308,proporcao 0.308 abaixo de 0.4
geocoder,lib/geocoder/results/nationaal_georegister_nl.rb,d3515db46c57,geolocation,3,3,0,69,0.0,1,0.0,13,2,3,0.231,proporcao 0.231 abaixo de 0.4
geocoder,lib/geocoder/results/pdok_nl.rb,d3515db46c57,geolocation,3,3,0,69,0.0,1,0.0,13,2,3,0.231,proporcao 0.231 abaixo de 0.4
guard,lib/guard/dsl_reader.rb,170d63c6ca57,file system listener,2.2,4,0,8,0.0,1,0.0,13,2,4,0.308,proporcao 0.308 abaixo de 0.4
geocoder,lib/geocoder/results/db_ip_com.rb,d3515db46c57,geolocation,3,3,0,100,0.0,1,0.0,12,2,2,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
liquid,lib/liquid/extensions.rb,7a5e45fc4784,template engine,3,3,0,0,0.0,1,0.0,12,12,2,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/trusthub/v1.rb,c58e213a6f04,third-party apis,9.9,14,0,75,0.0,2,0.0,12,4,4,0.333,proporcao 0.333 abaixo de 0.4
faker,lib/faker/music.rb,e48d35f4fa0d,testing,3,3,100,9,0.0,1,0.0,11,2,4,0.364,proporcao 0.364 abaixo de 0.4
fastlane,fastlane/lib/fastlane/actions/skip_docs.rb,38d0ec404332,mobile development,2.9,5,100,0,0.0,1,0.0,11,3,4,0.364,proporcao 0.364 abaixo de 0.4
fastlane,spaceship/lib/spaceship/test_flight/test_info.rb,38d0ec404332,mobile development,3,3,0,100,0.0,1,0.0,11,2,3,0.273,proporcao 0.273 abaixo de 0.4
geocoder,lib/geocoder/results/google_places_search.rb,d3515db46c57,geolocation,3,3,0,27,0.0,1,0.0,11,3,2,0.182,menos de 3 formas distintas; proporcao 0.182 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/conversations/v1.rb,c58e213a6f04,third-party apis,8.3,13,0,55,0.0,2,0.0,11,4,4,0.364,proporcao 0.364 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/intelligence/v2.rb,c58e213a6f04,third-party apis,11.3,16,0,82,0.0,2,0.0,11,4,4,0.364,proporcao 0.364 abaixo de 0.4
twilio-ruby,lib/twilio-ruby/rest/supersim/v1.rb,c58e213a6f04,third-party apis,9,13,0,64,0.0,2,0.0,11,4,4,0.364,proporcao 0.364 abaixo de 0.4
activerecord,lib/arel/math.rb,3989ebf3473d,orm/odm,3,3,0,0,0.0,0,0.0,10,2,3,0.3,proporcao 0.3 abaixo de 0.4
faker,lib/faker/default/cannabis.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,10,2,1,0.1,menos de 3 formas distintas; proporcao 0.1 abaixo de 0.4
faker,lib/faker/default/food.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,10,2,2,0.2,menos de 3 formas distintas; proporcao 0.2 abaixo de 0.4
faker,lib/faker/games/elder_scrolls.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,10,3,2,0.2,menos de 3 formas distintas; proporcao 0.2 abaixo de 0.4
geocoder,lib/geocoder/results/melissa_street.rb,d3515db46c57,geolocation,3,3,0,100,0.0,1,0.0,10,2,3,0.3,proporcao 0.3 abaixo de 0.4
rdoc,lib/rdoc/stats/quiet.rb,4e303b392092,documentation,1.2,3,0,0,0.0,0,0.0,10,1,2,0.2,menos de 3 formas distintas; proporcao 0.2 abaixo de 0.4
selenium-webdriver,lib/selenium/webdriver/bidi/protocol/storage.rb,9175ed94d83e,testing,1.9,4,20,0,0.0,1,0.0,10,6,3,0.3,proporcao 0.3 abaixo de 0.4
sentry-ruby,sentry-ruby/lib/sentry/core_ext/object/duplicable.rb,a940dfdb5a64,error handling,3,3,0,0,0.0,0,0.0,10,10,1,0.1,menos de 3 formas distintas; proporcao 0.1 abaixo de 0.4
bullet,lib/bullet/detector/association.rb,bc55c037d27a,profiler and optimization,5,12,100,22,0.0,1,0.0,9,3,3,0.333,proporcao 0.333 abaixo de 0.4
chronic,lib/chronic/scalar.rb,7d3d82d38c99,date and time processing,5.1,22,11,89,0.0,2,0.0,9,9,3,0.333,proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/quote.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,9,2,1,0.111,menos de 3 formas distintas; proporcao 0.111 abaixo de 0.4
faker,lib/faker/default/slack_emoji.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,9,2,2,0.222,menos de 3 formas distintas; proporcao 0.222 abaixo de 0.4
faker,lib/faker/games/witcher.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,9,3,1,0.111,menos de 3 formas distintas; proporcao 0.111 abaixo de 0.4
http,lib/http/chainable/verbs.rb,942b1b36cea9,http clients and tools,3,3,0,0,0.0,0,0.0,9,3,1,0.111,menos de 3 formas distintas; proporcao 0.111 abaixo de 0.4
activesupport,lib/active_support/core_ext/numeric/bytes.rb,3989ebf3473d,core extensions,3,3,0,0,0.0,0,0.0,8,1,2,0.25,menos de 3 formas distintas; proporcao 0.25 abaixo de 0.4
carrierwave,lib/carrierwave/storage/abstract.rb,5effe4ecaae9,file upload,2.8,3,0,12,0.0,0,0.0,8,3,3,0.375,proporcao 0.375 abaixo de 0.4
faker,lib/faker/blockchain/tezos.rb,e48d35f4fa0d,testing,3.4,6,100,12,0.0,1,0.0,8,3,2,0.25,menos de 3 formas distintas; proporcao 0.25 abaixo de 0.4
faker,lib/faker/creature/dog.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,8,3,2,0.25,menos de 3 formas distintas; proporcao 0.25 abaixo de 0.4
faker,lib/faker/default/beer.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,8,2,3,0.375,proporcao 0.375 abaixo de 0.4
faker,lib/faker/default/science.rb,e48d35f4fa0d,testing,5.6,15,100,25,0.0,1,0.0,8,2,3,0.375,proporcao 0.375 abaixo de 0.4
faker,lib/faker/games/control.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,8,3,1,0.125,menos de 3 formas distintas; proporcao 0.125 abaixo de 0.4
faker,lib/faker/games/minecraft.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,8,3,1,0.125,menos de 3 formas distintas; proporcao 0.125 abaixo de 0.4
faker,lib/faker/tv_shows/silicon_valley.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,8,3,1,0.125,menos de 3 formas distintas; proporcao 0.125 abaixo de 0.4
fastlane,fastlane/lib/fastlane/actions/notify.rb,38d0ec404332,mobile development,3.4,7,100,12,0.0,1,0.0,8,3,3,0.375,proporcao 0.375 abaixo de 0.4
geocoder,lib/geocoder/results/google_places_details.rb,d3515db46c57,geolocation,3,3,0,100,0.0,1,0.0,8,3,1,0.125,menos de 3 formas distintas; proporcao 0.125 abaixo de 0.4
geocoder,lib/geocoder/results/maxmind_local.rb,d3515db46c57,geolocation,3,3,12,75,0.0,1,0.0,8,2,3,0.375,proporcao 0.375 abaixo de 0.4
gitlab,lib/gitlab/client/templates.rb,4818c5712616,third-party apis,3,3,0,0,0.0,2,0.0,8,2,3,0.375,proporcao 0.375 abaixo de 0.4
mongo,lib/mongo/server_selector/primary.rb,049b718a2d47,database drivers,3,3,0,0,0.0,1,0.0,8,3,2,0.25,menos de 3 formas distintas; proporcao 0.25 abaixo de 0.4
sentry-ruby,sentry-ruby/lib/sentry/structured_logger.rb,a940dfdb5a64,error handling,3.6,8,0,0,0.0,0,0.0,8,2,3,0.375,proporcao 0.375 abaixo de 0.4
activesupport,lib/active_support/number_helper.rb,3989ebf3473d,core extensions,3,3,0,0,1.0,0,0.0,7,2,1,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
faker,lib/faker/default/military.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,7,2,1,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
faker,lib/faker/default/sport.rb,e48d35f4fa0d,testing,4.3,12,100,14,0.0,1,0.0,7,2,2,0.286,menos de 3 formas distintas; proporcao 0.286 abaixo de 0.4
faker,lib/faker/movies/hitchhikers_guide_to_the_galaxy.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,7,3,1,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
faker,lib/faker/tv_shows/dr_who.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,7,3,1,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
geocoder,lib/geocoder/results/ipdata_co.rb,d3515db46c57,geolocation,3,3,14,86,0.0,1,0.0,7,2,2,0.286,menos de 3 formas distintas; proporcao 0.286 abaixo de 0.4
geocoder,lib/geocoder/results/telize.rb,d3515db46c57,geolocation,3,3,14,86,0.0,1,0.0,7,2,2,0.286,menos de 3 formas distintas; proporcao 0.286 abaixo de 0.4
typhoeus,lib/typhoeus/request/actions.rb,d7aba1bbfa8d,http clients and tools,3,3,0,100,0.0,0,0.0,7,3,1,0.143,menos de 3 formas distintas; proporcao 0.143 abaixo de 0.4
activerecord,lib/arel/expressions.rb,3989ebf3473d,orm/odm,3,3,0,0,0.0,0,0.0,6,2,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
capybara,lib/capybara/rspec/matchers/spatial_sugar.rb,a210c6e57872,testing,4,4,0,83,0.0,0,0.0,6,3,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
carrierwave,lib/carrierwave/validations/active_model.rb,5effe4ecaae9,file upload,4,5,0,50,0.43,1,50.0,6,7,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
doorkeeper,lib/doorkeeper/oauth/base_response.rb,75a84fefe686,authentication and oauth,3,3,0,0,0.0,0,0.0,6,3,1,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
faker,lib/faker/books/culture_series.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,6,3,1,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
faker,lib/faker/books/dune.rb,e48d35f4fa0d,testing,7.3,16,100,33,0.0,1,0.0,6,3,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/construction.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,6,2,1,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
faker,lib/faker/default/demographic.rb,e48d35f4fa0d,testing,4,9,100,17,0.0,1,0.0,6,2,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/device.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,6,2,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
faker,lib/faker/default/kpop.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,6,2,1,0.167,menos de 3 formas distintas; proporcao 0.167 abaixo de 0.4
faker,lib/faker/games/dota.rb,e48d35f4fa0d,testing,3,3,100,0,0.0,1,0.0,6,3,2,0.333,menos de 3 formas distintas; proporcao 0.333 abaixo de 0.4
